sequenceId,itemPosition,Whale,Rhythm,Tempo,Ornamentation,Synchrony,Duration,TsToAbs,Token,Rubato
205,9,3,5,4,0,1,1.2855073,27.01310000000012,f5.=,=
205,10,2,5,4,0,1,1.2826427,27.0645999999997,f5.=,=
206,0,2,1,3,0,1,0.9315177,0.0,b4.?,?
206,1,3,2,3,0,1,0.99444,0.5572000000001935,c4.?,?
206,2,2,1,0,0,0,0.2919123,0.9315176999998585,b1.?,?
206,3,2,1,0,0,0,0.2960621,1.2234300000000076,b1.=,=
206,4,2,1,0,0,1,0.3044723,1.5194921000002068,b1.=,=
206,5,3,1,0,1,1,0.2996769999999999,1.5516400000005888,b1*?,?
206,6,2,2,3,0,1,0.9969204,6.007299999999304,c4.?,?
206,7,3,0,2,0,1,0.8557534,6.04320000000007,a3.?,?
206,8,3,1,0,0,1,0.2443094,6.8989534000002095,b1.?,?
206,9,2,3,0,0,1,0.4010309999999999,7.004220400000122,d1.?,?
206,10,3,1,0,0,1,0.2737085,7.14326280000023,b1./,/
206,11,2,3,0,0,1,0.4175006999999999,7.405251399999543,d1.=,=
206,12,3,1,0,1,1,0.3255525,7.416971300000114,b1*/,/
206,13,2,2,1,0,0,0.577576,16.69380000000001,c2.?,?
206,14,2,3,0,0,0,0.4403439999999999,17.27137599999969,d1.?,?
206,15,2,1,0,0,1,0.309632,17.71172000000024,b1.?,?
206,16,3,5,4,0,1,1.1847674,18.111699999999477,f5.?,?
206,17,2,12,4,0,0,1.2142276,24.7524999999996,m5.?,?
206,18,2,1,0,0,1,0.333904,25.966727600000013,b1.?,?
206,19,3,5,4,1,1,1.200672,28.049799999999777,f5*=,=
206,20,2,14,4,0,1,1.3028883,32.555796999999075,o5.?,?
206,21,3,5,4,0,0,1.1847359999999998,36.84349999999995,f5.=,=
206,22,3,5,4,0,0,1.1579889,42.28349999999955,f5.\,\
207,0,2,8,0,0,1,0.2527019,0.0,i1.?,?
207,1,3,8,0,0,1,0.2532026,0.0668000000005122,i1.?,?
207,2,2,1,0,0,1,0.1033681,0.2527019000008295,b1.?,?
207,3,3,1,0,0,1,0.1035415,0.3200026000004072,b1.?,?
207,4,2,5,2,0,1,0.8290101,4.998600000000806,f3.?,?
207,5,3,13,0,0,1,0.3895330999999999,5.236100000000079,n1.?,?
207,6,2,5,2,0,1,0.8017290000000001,10.441800000000512,f3.\,\
